Sample Number,Habit,Species Name,First_Value,Second_Value,Notes
182,Herbs,Asarum caudatum,5,2,
182,Herbs,Campanula sp.,156,12,
182,Herbs,Circaea alpina ssp. pacifica,7,2,
182,Herbs,Clintonia uniflora,6,1,
182,Herbs,Erigeron aliceae,8,2,
182,Herbs,Fragaria vesca,21,9,
182,Herbs,Galium triflorum,11,6,
182,Herbs,Hackelia micrantha,1,1,
182,Herbs,Hieracium albiflorum,3,2,
182,Herbs,Hydrophyllum occidentale,11,9,
182,Herbs,Lathyrus polyphyllus,24,10,
182,Herbs,Listera caurina,18,5,
182,Herbs,Mertensia bella,3,1,
182,Herbs,Moehringia macrophylla,44,11,
182,Herbs,Monardella odoratissima,7,2,
182,Herbs,Nemophila parviflora,14,2,
182,Herbs,Osmorhiza berteroi,36,15,
182,Herbs,Phacelia hastata ssp. hastata,11,4,
182,Herbs,Phlox adsurgens,46,15,
182,Herbs,Polygonum phytolaccifolium,3,2,
182,Herbs,Pteridium aquilinum var. pubescens,31,11,
182,Herbs,Smilacina sp.,19,5,
182,Herbs,Tiarella trifoliata ssp. unifoliata,5,2,
182,Herbs,Trientalis latifolia,36,8,
182,Herbs,Trillium ovatum,4,2,
182,Herbs,UNK #2,3,2,
182,Herbs,UNK Grass,11,7,
182,Herbs,Vancouveria hexandra,49,5,
182,Herbs,Vicia americana,62,9,
182,Herbs,Viola glabella,17,6,
182,Shrubs,Abies concolor,7,6,
182,Shrubs,Calocedrus decurrens,1,1,
182,Shrubs,Cupressus lawsoniana,1,1,
182,Shrubs,Pseudotsuga menziesii var. menziesii,3,2,
182,Shrubs,Ribes marshallii,7,2,
182,Shrubs,Ribes viscosissimum,35,16,
182,Shrubs,Rosa gymnocarpa,1,1,
183,Herbs,Achlys triphylla,231,20,
183,Herbs,Actaea rubra,15,9,
183,Herbs,Adenocaulon bicolor,24,9,
183,Herbs,Angelica arguta,3,1,
183,Herbs,Athyrium filix-femina var. cyclosorum,2,1,
183,Herbs,Boykinia major,2,1,
183,Herbs,Circaea alpina ssp. pacifica,26,2,
183,Herbs,Dicentra formosa,6,1,
183,Herbs,Galium triflorum,10,5,
183,Herbs,Hydrophyllum occidentale,2,2,
183,Herbs,Nemophila parviflora,5,1,
183,Herbs,Orthilia secunda,1,1,
183,Herbs,Osmorhiza berteroi,29,11,
183,Herbs,Polystichum munitum,5,4,
183,Herbs,Prosartes hookeri,9,6,
183,Herbs,Pteridium aquilinum var. pubescens,25,7,
183,Herbs,Smilacina sp.,14,4,
183,Herbs,Streptopus amplexifolius var. americanus,0.001,0,
183,Herbs,Tiarella trifoliata ssp. unifoliata,24,25,
183,Herbs,Trillium ovatum,13,10,
183,Herbs,UNK Grass,24,5,
183,Herbs,Vancouveria hexandra,64,18,
183,Herbs,Veratrum insolitum,1,1,
183,Herbs,Viola glabella,2,2,
183,Shrubs,Abies concolor,1,1,
183,Shrubs,Cornus stolonifera,0.001,0,
183,Shrubs,Cupressus lawsoniana,3,1,
183,Shrubs,Ribes marshallii,9,5,
183,Shrubs,Rubus parviflorus,3,3,
184,Herbs,Achlys triphylla,153,16,
184,Herbs,Actaea rubra,10,6,
184,Herbs,Adenocaulon bicolor,103,19,
184,Herbs,Apocynum androsaemifolium,2,1,
184,Herbs,Asarum caudatum,6,3,
184,Herbs,Campanula sp.,18,3,
184,Herbs,Circaea alpina ssp. pacifica,205,10,
184,Herbs,Clintonia uniflora,9,2,
184,Herbs,Dicentra formosa,4,4,
184,Herbs,Galium triflorum,4,2,
184,Herbs,Hydrophyllum occidentale,21,10,
184,Herbs,Mitella breweri,39,6,
184,Herbs,Nemophila parviflora,9,3,
184,Herbs,Orthilia secunda,3,1,
184,Herbs,Osmorhiza berteroi,39,19,
184,Herbs,Phlox adsurgens,2,1,
184,Herbs,Polygonum phytolaccifolium,0.001,0,
184,Herbs,Polystichum munitum,3,2,
184,Herbs,Prosartes hookeri,15,8,
184,Herbs,Pteridium aquilinum var. pubescens,21,8,
184,Herbs,Smilacina sp.,39,12,
184,Herbs,Tiarella trifoliata ssp. unifoliata,138,18,
184,Herbs,Trientalis latifolia,1,1,
184,Herbs,Trillium ovatum,10,8,
184,Herbs,UNK Grass,15,9,
184,Herbs,Vancouveria hexandra,126,20,
184,Herbs,Veratrum insolitum,0.001,0,
184,Herbs,Viola glabella,19,10,
184,Shrubs,Acer glabrum,3,1,
184,Shrubs,Cornus canadensis,0.001,0,
184,Shrubs,Ribes marshallii,11,7,
185,Herbs,Apocynum androsaemifolium,2,1,
185,Herbs,Boschniakia strobilacea,1,1,"Whittaker called this Boschniakia hookeri, but Kosloff says that this spp. Is only found along the coast, so we changed them to match B. strobilacea"
185,Herbs,Campanula prenanthoides,36,14,
185,Herbs,Lonicera hispidula var. vacillans,2,2,
185,Herbs,Prosartes hookeri,2,1,
185,Herbs,Pteridium aquilinum var. pubescens,23,15,
185,Shrubs,Arctostaphylos stanfordiana,3,3,
185,Shrubs,Arctostaphylos viscida,2,1,
185,Shrubs,Chrysolepis chrysophylla var. chrysophylla,8,3,
185,Shrubs,Garrya fremontii,0.001,0,
185,Shrubs,Lithocarpus densiflorus,9,5,
185,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
185,Shrubs,Quercus chrysolepis,1,1,
185,Shrubs,Rosa gymnocarpa,14,10,
185,Shrubs,Rubus ursinus,32,13,
185,Shrubs,Toxicodendron diversilobum,103,16,
186,Herbs,Achlys triphylla,4,2,
186,Herbs,Adenocaulon bicolor,12,4,
186,Herbs,Apocynum androsaemifolium,3,3,
186,Herbs,Boschniakia strobilacea,0.001,0,"Whittaker called this Boschniakia hookeri, but Kosloff says that this spp. Is only found along the coast, so we changed them to match B. strobilacea"
186,Herbs,Bromus suksdorfii,0.001,0,
186,Herbs,Campanula prenanthoides,33,10,
186,Herbs,Hieracium albiflorum,1,1,
186,Herbs,Iris chrysophylla,0.001,0,
186,Herbs,Lonicera hispidula var. vacillans,2,2,
186,Herbs,Madia madioides,2,2,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
186,Herbs,Phlox adsurgens,1,1,
186,Herbs,Prosartes hookeri,4,3,
186,Herbs,Pteridium aquilinum var. pubescens,16,11,
186,Herbs,Tauschia kelloggii,23,12,
186,Herbs,Trientalis latifolia,9,1,
186,Herbs,Whipplea modesta,0.001,0,
186,Shrubs,Berberis nervosa,11,4,
186,Shrubs,Lithocarpus densiflorus,20,12,
186,Shrubs,Pseudotsuga menziesii var. menziesii,6,5,
186,Shrubs,Quercus chrysolepis,5,4,
186,Shrubs,Rosa gymnocarpa,36,15,
186,Shrubs,Rubus parviflorus,1,1,
186,Shrubs,Rubus ursinus,3,2,
186,Shrubs,Toxicodendron diversilobum,26,12,
187,Herbs,Achlys triphylla,6,2,
187,Herbs,Adenocaulon bicolor,0.001,0.001,
187,Herbs,Apocynum androsaemifolium,5,3,
187,Herbs,Asarum hartwegii,9,6,
187,Herbs,Campanula prenanthoides,28,2,
187,Herbs,Collomia heterophylla,1,1,
187,Herbs,Goodyera oblongifolia,1,1,
187,Herbs,Hieracium albiflorum,7,3,
187,Herbs,Iris chrysophylla,13,3,
187,Herbs,Lonicera hispidula var. vacillans,9,4,
187,Herbs,Polystichum munitum,4,4,
187,Herbs,Prosartes hookeri,4,3,
187,Herbs,Tauschia kelloggii,0.001,0,
187,Herbs,Trientalis latifolia,7,5,
187,Herbs,UNK Grasses,2,1,
187,Herbs,Whipplea modesta,8,3,
187,Shrubs,Berberis nervosa,22,10,
187,Shrubs,Cornus sericea,0.001,0,
187,Shrubs,Lithocarpus densiflorus,2,2,
187,Shrubs,Pseudotsuga menziesii var. menziesii,2,1,
187,Shrubs,Quercus chrysolepis,6,6,
187,Shrubs,Rosa gymnocarpa,12,9,
187,Shrubs,Rubus ursinus,1,1,
187,Shrubs,Toxicodendron diversilobum,125,18,
188,Herbs,Apocynum androsaemifolium,1,1,
188,Herbs,Campanula prenanthoides,57,5,
188,Herbs,Collomia heterophylla,0.001,0,
188,Herbs,Corallorhiza maculata,1,1,
188,Herbs,Galium californicum,6,2,
188,Herbs,Galium triflorum,2,1,
188,Herbs,Hieracium albiflorum,18,6,
188,Herbs,Lonicera hispidula var. vacillans,0.001,0,
188,Herbs,Madia madioides,0.001,0,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
188,Herbs,Polystichum munitum,1,1,
188,Herbs,Pteridium aquilinum var. pubescens,1,1,
188,Herbs,Tauschia kelloggii,6,3,
188,Herbs,Trientalis latifolia,3,1,
188,Herbs,UNK Grasses,6,2,
188,Herbs,Whipplea modesta,23,5,
188,Shrubs,Berberis nervosa,1,1,
188,Shrubs,Calystegia occidentalis,1,1,
188,Shrubs,Ceanothus integerrimus,0.001,0,
188,Shrubs,Lithocarpus densiflorus,17,13,
188,Shrubs,Pinus lambertiana,1,1,
188,Shrubs,Pseudotsuga menziesii var. menziesii,3,3,
188,Shrubs,Quercus chrysolepis,2,2,
188,Shrubs,Rosa gymnocarpa,11,7,
188,Shrubs,Rubus ursinus,0.001,0,
188,Shrubs,Toxicodendron diversilobum,17,6,
189,Herbs,Achlys triphylla,92,8,
189,Herbs,Adenocaulon bicolor,33,8,
189,Herbs,Apocynum androsaemifolium,20,9,
189,Herbs,Bromus suksdorfii,0.001,0,
189,Herbs,Campanula prenanthoides,30,8,
189,Herbs,Cypripedium fasciculatum,1,1,
189,Herbs,Festuca occidentalis,0.001,0,
189,Herbs,Galium triflorum,1,1,
189,Herbs,Hieracium albiflorum,8,4,
189,Herbs,Iris chrysophylla,10,3,
189,Herbs,Lonicera hispidula var. vacillans,4,2,
189,Herbs,Madia madioides,10,1,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
189,Herbs,Melica harfordii,0.001,0,
189,Herbs,Polystichum munitum,1,1,
189,Herbs,Pteridium aquilinum var. pubescens,8,3,
189,Herbs,Symphoricarpos mollis,1,1,
189,Herbs,Tauschia kelloggii,5,3,
189,Herbs,Trisetum canescens,0.001,0,
189,Herbs,UNK Grasses,23,7,
189,Herbs,Whipplea modesta,1,1,
189,Shrubs,Berberis aquifolium var. repens,24,12,
189,Shrubs,Berberis nervosa,1,1,
189,Shrubs,Corylus cornuta,3,3,
189,Shrubs,Holodiscus discolor,1,1,
189,Shrubs,Lithocarpus densiflorus,7,5,
189,Shrubs,Pseudotsuga menziesii var. menziesii,6,3,
189,Shrubs,Quercus chrysolepis,5,4,
189,Shrubs,Rosa gymnocarpa,16,8,
189,Shrubs,Rubus ursinus,21,10,
189,Shrubs,Toxicodendron diversilobum,44,16,
190,Herbs,Achlys triphylla,44,7,
190,Herbs,Adenocaulon bicolor,1,1,
190,Herbs,Apocynum androsaemifolium,15,9,
190,Herbs,Campanula prenanthoides,59,13,
190,Herbs,Galium triflorum,3,2,
190,Herbs,Hieracium albiflorum,11,7,
190,Herbs,Iris chrysophylla,20,5,
190,Herbs,Lathyrus sp.,0.001,0,
190,Herbs,Lonicera hispidula var. vacillans,6,2,
190,Herbs,Madia madioides,1,1,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
190,Herbs,Pteridium aquilinum var. pubescens,2,2,
190,Herbs,Rupertia physodes,1,1,
190,Herbs,Tauschia kelloggii,19,9,
190,Herbs,Trientalis latifolia,28,7,
190,Herbs,UNK Grasses,14,7,
190,Herbs,Vancouveria hexandra,5,2,
190,Shrubs,Berberis aquifolium var. repens,8,6,
190,Shrubs,Lithocarpus densiflorus,1,1,
190,Shrubs,Pinus lambertiana,1,1,
190,Shrubs,Pseudotsuga menziesii var. menziesii,3,2,
190,Shrubs,Quercus chrysolepis,6,4,
190,Shrubs,Rosa gymnocarpa,11,7,
190,Shrubs,Rubus ursinus,2,2,
190,Shrubs,Toxicodendron diversilobum,27,11,
191,Herbs,Achlys triphylla,24,6,
191,Herbs,Apocynum androsaemifolium,7,5,
191,Herbs,Campanula prenanthoides,30,8,
191,Herbs,Chimaphila umbellata,5,1,
191,Herbs,Goodyera oblongifolia,2,2,
191,Herbs,Lonicera hispidula var. vacillans,12,4,
191,Herbs,Madia madioides,22,2,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
191,Herbs,Packera bolanderi,3,2,
191,Herbs,Phlox adsurgens,1,1,
191,Herbs,UNK Grasses,10,4,
191,Herbs,Whipplea modesta,25,8,
191,Shrubs,Berberis aquifolium var. repens,16,9,
191,Shrubs,Lithocarpus densiflorus,6,5,
191,Shrubs,Pseudotsuga menziesii var. menziesii,3,3,
191,Shrubs,Quercus chrysolepis,5,4,
191,Shrubs,Rosa gymnocarpa,24,11,
191,Shrubs,Rubus ursinus,15,7,
191,Shrubs,Toxicodendron diversilobum,52,17,
192,Herbs,Achlys triphylla,23,8,
192,Herbs,Adenocaulon bicolor,1,1,
192,Herbs,Adiantum aleuticum,0.001,0,
192,Herbs,Allotropa virgata,0.001,0,
192,Herbs,Anemone deltoidea,4,3,
192,Herbs,Apocynum androsaemifolium,3,2,
192,Herbs,Aralia californica,0.001,0,
192,Herbs,Boykinia occidentalis,0.001,0,
192,Herbs,Chimaphila umbellata,1,1,
192,Herbs,Claytonia parviflora,0.001,0,
192,Herbs,Galium triflorum,0.001,0,
192,Herbs,Iris chrysophylla,1,1,
192,Herbs,Linnaea borealis var. longiflora,30,8,
192,Herbs,Lonicera hispidula var. vacillans,1,1,
192,Herbs,Packera bolanderi,2,2,
192,Herbs,Polystichum munitum,1,1,
192,Herbs,Pteridium aquilinum var. pubescens,5,2,
192,Herbs,Pyrola picta,5,2,
192,Herbs,Smilacina sp.,22,10,
192,Herbs,Tiarella trifoliata ssp. unifoliata,0.001,0,
192,Herbs,Tolmiea menziesii,0.001,0,
192,Herbs,Trientalis latifolia,6,3,
192,Herbs,Trillium ovatum,3,2,
192,Herbs,UNK Grasses,1,1,
192,Herbs,Viola sempervirens,2,1,
192,Herbs,Whipplea modesta,32,8,
192,Shrubs,Berberis aquifolium var. repens,2,2,
192,Shrubs,Berberis nervosa,67,17,
192,Shrubs,Gaultheria shallon,73,18,
192,Shrubs,Lithocarpus densiflorus,10,10,
192,Shrubs,Rosa gymnocarpa,6,5,
192,Shrubs,Rubus parviflorus,4,1,
192,Shrubs,Rubus ursinus,11,9,
192,Shrubs,Taxus brevifolia,6,4,
193,Herbs,Achlys triphylla,10,2,
193,Herbs,Adenocaulon bicolor,18,6,
193,Herbs,Apocynum androsaemifolium,2,1,
193,Herbs,Campanula prenanthoides,32,19,
193,Herbs,Goodyera oblongifolia,3,1,
193,Herbs,Hieracium albiflorum,8,2,
193,Herbs,Iris chrysophylla,8,3,
193,Herbs,Lonicera hispidula var. vacillans,1,1,
193,Herbs,Madia madioides,5,1,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
193,Herbs,Phlox adsurgens,17,8,
193,Herbs,Prosartes hookeri,1,1,
193,Herbs,Pteridium aquilinum var. pubescens,14,8,
193,Herbs,Trientalis latifolia,16,4,
193,Herbs,UNK Grasses,3,1,
193,Herbs,Viola sempervirens,16,7,
193,Shrubs,Berberis nervosa,17,3,
193,Shrubs,Calocedrus decurrens,13,10,
193,Shrubs,Lithocarpus densiflorus,17,12,
193,Shrubs,Pseudotsuga menziesii var. menziesii,4,3,
193,Shrubs,Quercus chrysolepis,1,1,
193,Shrubs,Rosa gymnocarpa,18,11,
193,Shrubs,Rubus parviflorus,1,1,
193,Shrubs,Rubus ursinus,51,20,
193,Shrubs,Toxicodendron diversilobum,11,4,
194,Herbs,Achlys triphylla,56,4,
194,Herbs,Apocynum androsaemifolium,17,8,
194,Herbs,Boschniakia strobilacea,3,1,"Whittaker called this Boschniakia hookeri, but Kosloff says that this spp. Is only found along the coast, so we changed them to match B. strobilacea"
194,Herbs,Campanula prenanthoides,4,3,
194,Herbs,Chimaphila umbellata,33,8,
194,Herbs,Collomia heterophylla,0.001,0,
194,Herbs,Hieracium albiflorum,8,3,
194,Herbs,Lonicera hispidula var. vacillans,8,3,
194,Herbs,Madia madioides,1,1,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
194,Herbs,Phlox adsurgens,2,1,
194,Herbs,Pteridium aquilinum var. pubescens,3,2,
194,Herbs,UNK Grasses,1,1,
194,Herbs,Whipplea modesta,10,3,
194,Shrubs,Berberis nervosa,2,1,
194,Shrubs,Chrysolepis chrysophylla var. chrysophylla,1,1,
194,Shrubs,Lithocarpus densiflorus,13,10,
194,Shrubs,Pseudotsuga menziesii var. menziesii,3,3,
194,Shrubs,Quercus chrysolepis,1,1,
194,Shrubs,Rosa gymnocarpa,17,10,
194,Shrubs,Rubus ursinus,13,8,
195,Herbs,Carex grayi,0.001,0,
195,Herbs,Carex rossii,2,1,
195,Herbs,Chimaphila menziesii,0.001,0,
195,Herbs,Eucephalus brickellioides,5,1,
195,Herbs,Hieracium albiflorum,0.001,0,
195,Herbs,Juncus parryi,0.001,0,
195,Herbs,Luetkea pectinata,0.001,0,
195,Herbs,Luzula spicata,1,1,
195,Herbs,Moehringia macrophylla,36,3,
195,Herbs,Nothochelone nemorosa,25,11,
195,Herbs,Orogenia fusiformis,0.001,0,
195,Herbs,Orthilia secunda,8,2,
195,Herbs,Pedicularis racemosa,5,3,
195,Herbs,Poa bolanderi,0.001,0,
195,Herbs,Poa sp.,1,1,
195,Herbs,Poa wheeleri,0.001,0,
195,Herbs,Rubus lasiococcus,26,6,
196,Herbs,Angelica arguta,2,2,
196,Herbs,Bromus carinatus,0.001,0,
196,Herbs,Campanula scouleri,25,1,
196,Herbs,Castilleja miniata,7,2,
196,Herbs,Dicentra formosa,1,1,
196,Herbs,Elymus glaucus,0.001,0,
196,Herbs,Epilobium angustifolium spp. angustifolium,4,2,
196,Herbs,Erigeron aliceae,0.001,0,
196,Herbs,Eriophyllum lanatum,1,1,
196,Herbs,Erysimum capitatum,1,1,
196,Herbs,Eucephalus brickellioides,119,16,
196,Herbs,Hieracium albiflorum,20,11,
196,Herbs,Moehringia macrophylla,100,13,
196,Herbs,Monardella odoratissima,0.001,0,
196,Herbs,Nothochelone nemorosa,47,13,
196,Herbs,Pedicularis racemosa,21,9,
196,Herbs,Penstemon newberryi,8,5,
196,Herbs,Phacelia procera,1,1,
196,Herbs,Poa bolanderi,0.001,0,
196,Herbs,Polystichum munitum,1,1,
196,Herbs,Rubus lasiococcus,4,1,
196,Herbs,UNK #1,5,2,
196,Herbs,Valeriana sitchensis,63,13,
196,Shrubs,Abies magnifica,11,5,
196,Shrubs,Lonicera conjugialis,0.001,0,
196,Shrubs,Ribes marshallii,6,3,
197,Herbs,Arnica latifolia,20,2,
197,Herbs,Campanula sp.,2,1,
197,Herbs,Eucephalus brickellioides,50,7,
197,Herbs,Festuca occidentalis,0.001,0,
197,Herbs,Hieracium albiflorum,26,8,
197,Herbs,Luzula spicata,0.001,0,
197,Herbs,Moehringia macrophylla,59,12,
197,Herbs,Nothochelone nemorosa,49,19,
197,Herbs,Orthilia secunda,3,2,
197,Herbs,Pedicularis racemosa,64,18,
197,Herbs,Penstemon newberryi,4,3,
197,Herbs,Pyrola picta,1,1,
197,Herbs,Rubus lasiococcus,6,1,
197,Herbs,UNK #1,3,1,
197,Herbs,UNK Grass,6,2,
197,Herbs,Valeriana sitchensis,91,21,
197,Shrubs,Abies magnifica,5,4,
197,Shrubs,Ribes marshallii,1,1,
197,Shrubs,Vaccinium membranaceum,1,1,
198,Herbs,Arabis platysperma,0.001,0,
198,Herbs,Arnica latifolia,290,12,
198,Herbs,Castilleja miniata,14,9,
198,Herbs,Eucephalus brickellioides,137,19,
198,Herbs,Hieracium albiflorum,14,5,
198,Herbs,Luzula spicata,1,1,
198,Herbs,Moehringia macrophylla,30,6,
198,Herbs,Nothochelone nemorosa,6,6,
198,Herbs,Orthilia secunda,22,7,
198,Herbs,Osmorhiza berteroi,0.001,0,
198,Herbs,Pedicularis racemosa,117,21,
198,Herbs,Phlox adsurgens,27,10,
198,Herbs,Rubus lasiococcus,103,16,
198,Herbs,Sedum sp.,2,2,
198,Herbs,Trisetum spicatum,0.001,0,
198,Herbs,UNK Grass,8,4,
198,Herbs,Valeriana sitchensis,139,25,
198,Shrubs,Abies magnifica,5,4,
198,Shrubs,Ribes marshallii,2,2,
198,Shrubs,Tsuga mertensiana,3,1,
199,Herbs,Aquilegia formosa,2,2,
199,Herbs,Arnica latifolia,322,22,
199,Herbs,Campanula sp.,12,1,
199,Herbs,Castilleja miniata,5,5,
199,Herbs,Claytonia parviflora,22,6,
199,Herbs,Corallorhiza mertensiana,3,1,
199,Herbs,Epilobium hornemannii ssp. hornemannii,59,7,
199,Herbs,Eucephalus brickellioides,49,10,
199,Herbs,Hieracium albiflorum,10,5,
199,Herbs,Luzula spicata,1,1,
199,Herbs,Moehringia macrophylla,30,5,
199,Herbs,Nothochelone nemorosa,12,6,
199,Herbs,Osmorhiza berteroi,7,5,
199,Herbs,Pedicularis racemosa,36,18,
199,Herbs,Phlox adsurgens,13,4,
199,Herbs,Rubus lasiococcus,4,2,
199,Herbs,Sedum sp.,4,2,
199,Herbs,Senecio triangularis,8,3,
199,Herbs,UNK Grass,12,6,
199,Herbs,Valeriana sitchensis,97,20,
199,Shrubs,Abies magnifica,1,1,
199,Shrubs,Tsuga mertensiana,2,2,
200,Herbs,Arnica latifolia,201,12,
200,Herbs,Corallorhiza maculata,1,1,
200,Herbs,Eucephalus brickellioides,3,3,
200,Herbs,Hieracium albiflorum,2,1,
200,Herbs,Luzula spicata,4,3,
200,Herbs,Moehringia macrophylla,5,3,
200,Herbs,Nothochelone nemorosa,16,10,
200,Herbs,Orthilia secunda,39,10,
200,Herbs,Pedicularis racemosa,6,4,
200,Herbs,Rubus lasiococcus,68,9,
200,Herbs,Valeriana sitchensis,21,11,
200,Shrubs,Abies magnifica,1,1,
201,Herbs,Achlys triphylla,20,1,
201,Herbs,Arnica latifolia,174,18,
201,Herbs,Claytonia parviflora,12,1,
201,Herbs,Eucephalus brickellioides,6,2,
201,Herbs,Hieracium albiflorum,28,10,
201,Herbs,Luzula spicata,50,12,
201,Herbs,Mitella breweri,145,17,
201,Herbs,Moehringia macrophylla,38,9,
201,Herbs,Nothochelone nemorosa,2,1,
201,Herbs,Orthilia secunda,7,2,
201,Herbs,Osmorhiza berteroi,5,4,
201,Herbs,Pedicularis racemosa,6,4,
201,Herbs,Rubus lasiococcus,149,24,
201,Herbs,Senecio triangularis,18,5,
201,Herbs,UNK Grass,14,6,
201,Herbs,Valeriana sitchensis,136,20,
201,Herbs,Veratrum sp.,1,1,
201,Shrubs,Abies magnifica,1,1,
201,Shrubs,Ribes marshallii,13,9,
201,Shrubs,Tsuga mertensiana,1,1,
203,Herbs,Achlys triphylla,350,24,
203,Herbs,Adenocaulon bicolor,64,21,
203,Herbs,Apocynum androsaemifolium,5,3,
203,Herbs,Campanula sp.,116,13,
203,Herbs,Chimaphila umbellata,14,5,
203,Herbs,Circaea alpina ssp. pacifica,80,6,
203,Herbs,Clintonia uniflora,6,2,
203,Herbs,Fragaria vesca,2,1,
203,Herbs,Galium triflorum,19,11,
203,Herbs,Goodyera oblongifolia,4,2,
203,Herbs,Hieracium albiflorum,32,12,
203,Herbs,Lathyrus polyphyllus,34,12,
203,Herbs,Listera caurina,9,2,
203,Herbs,Mitella diversifolia,1,1,
203,Herbs,Moehringia macrophylla,1,1,
203,Herbs,Nemophila parviflora,12,2,
203,Herbs,Orthilia secunda,1,1,
203,Herbs,Osmorhiza berteroi,11,8,
203,Herbs,Packera bolanderi,7,5,
203,Herbs,Phlox adsurgens,3,2,
203,Herbs,Prosartes hookeri,23,12,
203,Herbs,Senecio triangularis,9,2,
203,Herbs,Smilacina sp.,16,5,
203,Herbs,Tiarella trifoliata ssp. unifoliata,45,9,
203,Herbs,Trientalis latifolia,25,11,
203,Herbs,Trillium ovatum,1,1,
203,Herbs,UNK Grass,32,12,
203,Herbs,Vancouveria hexandra,28,6,
203,Herbs,Viola glabella,17,9,
203,Herbs,Viola sempervirens,28,6,
203,Herbs,Whipplea modesta,54,8,
203,Shrubs,Abies concolor,2,2,
203,Shrubs,Berberis nervosa,34,12,
203,Shrubs,Pseudotsuga menziesii var. menziesii,3,3,
203,Shrubs,Rosa gymnocarpa,15,10,
203,Shrubs,Rubus nivalis,9,4,
203,Shrubs,Rubus ursinus,4,4,
204,Herbs,Achlys triphylla,332,25,
204,Herbs,Anemone deltoidea,3,2,
204,Herbs,Apocynum androsaemifolium,11,5,
204,Herbs,Asarum hartwegii,2,2,
204,Herbs,Campanula sp.,12,1,
204,Herbs,Chimaphila menziesii,2,2,
204,Herbs,Chimaphila umbellata,62,15,
204,Herbs,Clintonia uniflora,29,8,
204,Herbs,Corallorhiza sp.,1,1,
204,Herbs,Galium triflorum,22,11,
204,Herbs,Goodyera oblongifolia,2,2,
204,Herbs,Hieracium albiflorum,21,6,
204,Herbs,Moehringia macrophylla,1,1,
204,Herbs,Orthilia secunda,5,2,
204,Herbs,Osmorhiza berteroi,7,6,
204,Herbs,Packera bolanderi,29,6,
204,Herbs,Phlox adsurgens,32,9,
204,Herbs,Prosartes hookeri,13,6,
204,Herbs,Pyrola picta,2,2,
204,Herbs,Smilacina sp.,26,9,
204,Herbs,Tiarella trifoliata ssp. unifoliata,16,3,
204,Herbs,Trientalis latifolia,134,19,
204,Herbs,UNK Grass,23,11,
204,Herbs,Vancouveria hexandra,36,9,
204,Herbs,Vicia americana,2,1,
204,Herbs,Viola glabella,8,5,
204,Herbs,Viola sempervirens,82,12,
204,Shrubs,Abies concolor,15,10,
204,Shrubs,Berberis nervosa,26,10,
204,Shrubs,Pinus lambertiana,1,1,
204,Shrubs,Rosa gymnocarpa,10,7,
204,Shrubs,Rubus nivalis,32,14,
204,Shrubs,Rubus ursinus,1,1,
204,Shrubs,Vaccinium membranaceum,1,1,
205,Herbs,Achlys triphylla,346,25,
205,Herbs,Adenocaulon bicolor,28,10,
205,Herbs,Anemone deltoidea,31,12,
205,Herbs,Apocynum androsaemifolium,22,11,
205,Herbs,Asarum hartwegii,2,2,
205,Herbs,Campanula sp.,44,6,
205,Herbs,Cephalanthera austiniae,1,1,
205,Herbs,Chimaphila umbellata,11,9,
205,Herbs,Clintonia uniflora,2,1,
205,Herbs,Corallorhiza sp.,1,1,
205,Herbs,Fragaria vesca,3,2,
205,Herbs,Galium triflorum,23,12,
205,Herbs,Goodyera oblongifolia,2,2,
205,Herbs,Hieracium albiflorum,6,4,
205,Herbs,Moehringia macrophylla,47,8,
205,Herbs,Orthilia secunda,1,1,
205,Herbs,Osmorhiza berteroi,13,7,
205,Herbs,Phlox adsurgens,40,12,
205,Herbs,Prosartes hookeri,14,9,
205,Herbs,Smilacina sp.,42,8,
205,Herbs,Tiarella trifoliata ssp. unifoliata,7,2,
205,Herbs,Trientalis latifolia,56,8,
205,Herbs,Trillium ovatum,1,1,
205,Herbs,UNK Grass,22,9,
205,Herbs,Vancouveria hexandra,42,8,
205,Herbs,Vetch,1,1,
205,Herbs,Viola glabella,8,4,
205,Herbs,Viola sempervirens,5,2,
205,Shrubs,Abies concolor,11,7,
205,Shrubs,Berberis nervosa,36,14,
205,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
205,Shrubs,Rosa gymnocarpa,11,6,
205,Shrubs,Rubus nivalis,1,1,
205,Shrubs,Rubus ursinus,6,5,
206,Herbs,Achlys triphylla,324,25,
206,Herbs,Actaea rubra,2,1,
206,Herbs,Adenocaulon bicolor,70,19,
